nom_ent,nom_mun,nom_loc,ageb,pobfem,p_0a2_f,p_3a5_f,p_6a11_f,p_12a14_f,p_15a17_f,p_18a24_f,p_25a49_f,p_50a_59_f,p_60ymas_f
México,Toluca,Toluca de Lerdo,3142,2434,115.0,122.0,256.0,112.0,110.0,303.0,933.0,319.0,164.0
México,Toluca,Toluca de Lerdo,3157,2889.0,138.0,162.0,311.0,122.0,152.0,436.0,1083.0,313.0,172.0
México,Toluca,Toluca de Lerdo,3161,816,43.0,35.0,122.0,36.0,23.0,58.0,401.0,88.0,10.0
México,Toluca,Toluca de Lerdo,3176,2195,112.0,132.0,282.0,103.0,101.0,149.0,1068.0,188.0,60.0
México,Toluca,Toluca de Lerdo,3180,3021,130.0,161.0,371.0,188.0,163.0,300.0,1392.0,219.0,97.0
México,Toluca,Toluca de Lerdo,3195,1450.0,41.0,47.0,132.0,52.0,63.0,155.0,556.0,229.0,175.0
México,Toluca,Toluca de Lerdo,3208,1891,50.0,64.0,138.0,59.0,68.0,202.0,715.0,307.0,288.0
México,Toluca,Toluca de Lerdo,3212,1133,42.0,26.0,91.0,38.0,41.0,149.0,439.0,206.0,101.0
México,Toluca,Toluca de Lerdo,3227,1219,43.0,45.0,99.0,50.0,56.0,119.0,540.0,206.0,61.0
México,Toluca,Toluca de Lerdo,3231,1941,50.0,59.0,131.0,55.0,69.0,237.0,917.0,332.0,91.0
México,Toluca,Toluca de Lerdo,3246,1092,32.0,38.0,118.0,32.0,45.0,124.0,454.0,226.0,23.0
México,Toluca,Toluca de Lerdo,3250,946.0,40.0,50.0,116.0,24.0,31.0,117.0,378.0,164.0,26.0
México,Toluca,Toluca de Lerdo,3265,516.0,19.0,25.0,57.0,21.0,20.0,57.0,212.0,80.0,25.0
México,Toluca,Toluca de Lerdo,3284,2406,112.0,135.0,227.0,96.0,92.0,209.0,923.0,525.0,87.0
México,Toluca,Toluca de Lerdo,3299,1098.0,55.0,48.0,137.0,43.0,47.0,85.0,493.0,157.0,33.0
México,Toluca,Toluca de Lerdo,3301,3021.0,143.0,171.0,422.0,172.0,140.0,218.0,1482.0,204.0,69.0
México,Toluca,Toluca de Lerdo,3316,1188,52.0,82.0,153.0,63.0,43.0,156.0,467.0,134.0,38.0
México,Toluca,Toluca de Lerdo,3320,1664.0,74.0,85.0,179.0,53.0,104.0,274.0,623.0,235.0,37.0
México,Toluca,Toluca de Lerdo,3335,1640,72.0,64.0,182.0,71.0,76.0,216.0,618.0,280.0,61.0
México,Toluca,Toluca de Lerdo,3354,2086,96.0,125.0,203.0,94.0,108.0,296.0,783.0,283.0,98.0
México,Toluca,Toluca de Lerdo,3369,1855,85.0,106.0,238.0,97.0,101.0,256.0,699.0,218.0,55.0
México,Toluca,Toluca de Lerdo,3373,1674.0,56.0,76.0,180.0,72.0,81.0,211.0,679.0,268.0,51.0
México,Toluca,Toluca de Lerdo,3388,1475.0,28.0,38.0,129.0,54.0,63.0,183.0,627.0,285.0,68.0
México,Toluca,Toluca de Lerdo,3392,161,14,7,24,4.0,8,20,63,11.0,10
México,Toluca,Toluca de Lerdo,3405,311,7.0,15.0,26.0,7.0,4.0,25.0,172.0,41.0,14.0
México,Toluca,Toluca de Lerdo,3424,145,8.0,9.0,13.0,11,12,7.0,56.0,19.0,10.0
México,Toluca,San Cayetano Morelos,3458,235.0,17.0,9.0,25.0,6.0,7.0,36.0,87.0,45.0,3.0
México,Toluca,San Cayetano Morelos,3462,18,0.0,0,0.0,0.0,0,3,6,9.0,0
México,Toluca,San Felipe Tlalmimilolpan,3477,144,5,11.0,15.0,8,9.0,14.0,65.0,11.0,6
México,Toluca,San José Guadalupe Otzacatipan,3481,482,27.0,23.0,60.0,14.0,9.0,10.0,263.0,68.0,8.0
México,Toluca,Toluca de Lerdo,3496,2057.0,106.0,121.0,235.0,114.0,116.0,284.0,810.0,207.0,64.0
México,Toluca,San Pedro Totoltepec,3509,0,0,0,0,0,0,0,0,0,0
México,Toluca,El Cerrillo Vista Hermosa,3513,399.0,17.0,14.0,45.0,17.0,24.0,45.0,160.0,68.0,9.0
México,Toluca,San Pedro Totoltepec,3528,0,0,0,0,0,0,0,0,0,0
México,Toluca,Toluca de Lerdo,3532,316,19.0,23.0,40.0,20.0,11.0,41.0,121.0,38.0,3.0
México,Toluca,Toluca de Lerdo,3547,394,20.0,23.0,60,18.0,21.0,41,160.0,35.0,16.0
México,Toluca,Toluca de Lerdo,3551,959.0,39.0,34.0,82.0,35.0,31.0,146.0,456.0,127.0,9.0
México,Toluca,Toluca de Lerdo,3566,943,53.0,41.0,141,64.0,62.0,94,421.0,45.0,22.0
México,Toluca,Toluca de Lerdo,3570,564.0,26.0,20.0,58.0,26.0,26.0,62.0,243.0,90.0,13.0
México,Toluca,Toluca de Lerdo,3585,659.0,51.0,64.0,103.0,31.0,24.0,86.0,230.0,53.0,17.0
México,Toluca,San Andrés Cuexcontitlán,3602,124,0.0,3.0,27,4.0,12.0,8.0,50.0,12.0,8.0
México,Toluca,Santa Cruz Otzacatipan,3617,119,4.0,9.0,10.0,4.0,0.0,18.0,52.0,22.0,0.0
México,Toluca,Jicaltepec Autopan,3621,245,19,11.0,31,23,20,34,77,19.0,11
México,Toluca,El Cerrillo Vista Hermosa,3636,297,21.0,20.0,37,13.0,12,37.0,116.0,29.0,12
México,Toluca,Jicaltepec Cuexcontitlán,3655,2209,163.0,151.0,314.0,108.0,126.0,295.0,786.0,202.0,64.0
México,Toluca,Toluca de Lerdo,3674,114,0.0,7.0,12.0,10.0,7.0,8.0,50.0,20.0,0.0
México,Toluca,San José Guadalupe Otzacatipan,3689,816.0,41.0,69.0,85.0,20.0,20.0,37.0,456.0,79.0,9.0
